,TradeDate,Open,High,Low,Close,Adj_Close,Volume,Ticker,tweet_date,pct_positive,pct_negative,pct_neutral,avg_compound_sentiment,tweet_volume,MACD_raw,MACD_signal,MACD
1043,2020-01-28,8912.52,9358.59,8908.45,9358.59,9358.59,34398744403,BTC,,,,,,,291.6242173832379,280.57798816692906,11.04622921630886
1044,2020-01-29,9357.47,9406.43,9269.47,9316.63,9316.63,30682598115,BTC,,,,,,,319.5465653258707,288.3717035987174,31.174861727153313
1045,2020-01-30,9316.02,9553.13,9230.90,9508.99,9508.99,32378792851,BTC,,,,,,,353.1264497216562,301.32265282330513,51.80379689835104
1046,2020-01-31,9508.31,9521.71,9230.78,9350.53,9350.53,29432489719,BTC,,,,,,,362.77055915172605,313.61223408898934,49.15832506273671
1047,2020-02-01,9346.36,9439.32,9313.24,9392.88,9392.88,25922656496,BTC,,,,,,,369.57069549549306,324.8039263702901,44.76676912520293
1048,2020-02-02,9389.82,9468.80,9217.82,9344.37,9344.37,30835736946,BTC,,,,,,,366.81706219792795,333.2065535358177,33.61050866211025
1049,2020-02-03,9344.68,9540.37,9248.63,9293.52,9293.52,30934096509,BTC,,,,,,,356.4229955152423,337.84984193170266,18.573153583539636
1050,2020-02-04,9292.84,9331.27,9112.81,9180.96,9180.96,29893183716,BTC,,,,,,,335.2385501596891,337.3275835773,-2.0890334176108922
1051,2020-02-05,9183.42,9701.30,9163.70,9613.42,9613.42,35222060874,BTC,,,,,,,349.31890151747757,339.72584716533555,9.593054352142019
1052,2020-02-06,9617.82,9824.62,9539.82,9729.80,9729.80,37628823716,BTC,,,,,,,365.65354829047465,344.9113873903634,20.74216090011123
1053,2020-02-07,9726.00,9834.72,9726.00,9795.94,9795.94,34522718159,BTC,,,,,,,379.5604818215652,351.8412062766038,27.719275544961363
1054,2020-02-08,9793.07,9876.75,9678.91,9865.12,9865.12,35172043762,BTC,,,,,,,391.6493843679,359.8028418948631,31.84654247303689
1055,2020-02-09,9863.89,10129.44,9850.39,10116.67,10116.67,35807884663,BTC,,,,,,,416.7241725809199,371.1871080320745,45.53706454884542
1056,2020-02-10,10115.56,10165.77,9784.56,9856.61,9856.61,39386548075,BTC,,,,,,,410.87514143635417,379.1247147129305,31.750426723423686
1057,2020-02-11,9855.89,10210.05,9729.33,10208.24,10208.24,37648059389,BTC,,,,,,,429.66048579389826,389.23186892912406,40.4286168647742
1058,2020-02-12,10202.39,10393.61,10202.39,10326.05,10326.05,43444303830,BTC,,,,,,,448.87988110771585,401.1614713648425,47.71840974287335
1059,2020-02-13,10323.96,10457.63,10116.16,10214.38,10214.38,49356071373,BTC,,,,,,,449.9142235204472,410.9120217959634,39.00220172448377
1060,2020-02-14,10211.55,10322.00,10125.53,10312.12,10312.12,43338264162,BTC,,,,,,,453.3943012111031,419.40847767899135,33.98582353211174
1061,2020-02-15,10313.86,10341.56,9874.43,9889.42,9889.42,43865054831,BTC,,,,,,,417.23431306319617,418.9736447558323,-1.7393316926361422
1062,2020-02-16,9889.18,10053.97,9722.39,9934.43,9934.43,43374780305,BTC,,,,,,,387.73957234260706,412.7268302731873,-24.987257930580256
